pearson_estimate	pearson_pval	is_in_Ace1
Sig_kmer0100	0.807101414622833	0.0000000000000000190786412602491	FALSE
Sig_kmer0125	0.918062417699508	0.0000000000000000000000000000195375140053926	FALSE
Sig_kmer0176	0.743928458973372	0.000000000000106122721878998	FALSE
Sig_kmer0189	0.800683384167955	0.0000000000000000525968292067678	FALSE
Sig_kmer0389	0.805613249606033	0.0000000000000000242169453491679	FALSE
Sig_kmer0401	0.859688860991964	0.00000000000000000000082193162260736	FALSE
Sig_kmer0465	0.791016709212986	0.00000000000000022644126180413	FALSE
Sig_kmer0747	0.835619273054086	0.000000000000000000126965024300954	FALSE
Sig_kmer0813	0.811248325755264	0.0000000000000000097082071107667	FALSE
Sig_kmer0905	0.844164720069163	0.0000000000000000000233959462845008	FALSE
Sig_kmer0977	0.805159484508272	0.0000000000000000260329262927067	FALSE
Sig_kmer1258	0.8165650914621	0.00000000000000000398319518993853	FALSE
Sig_kmer1850	0.816156150191097	0.00000000000000000427004518084336	FALSE
Sig_kmer1870	0.860175392302309	0.000000000000000000000735315709109384	FALSE
Sig_kmer1896	0.567090365353449	0.000000252147658646573	FALSE
Sig_kmer1993	-0.0943330021442116	0.43391938036829	FALSE
Sig_kmer2188	0.473659098796027	0.0000301855357312024	FALSE
Sig_kmer3471	0.794151843511645	0.000000000000000142245474717763	FALSE
Sig_kmer3846	0.636935975532424	0.00000000235401383414121	FALSE
Sig_kmer4258	0.812633109303917	0.00000000000000000771880649831985	FALSE
Sig_kmer0001	0.615915614760186	0.0000000108413316457033	TRUE
Sig_kmer0002	0.782208914434561	0.000000000000000802185736589291	TRUE
Sig_kmer0003	0.79685909774103	0.0000000000000000945919044702564	TRUE
Sig_kmer0004	0.884165812828064	0.00000000000000000000000168536606242118	TRUE
Sig_kmer0005	0.852867941532667	0.00000000000000000000375260316452407	TRUE
Sig_kmer0006	0.782118462461007	0.000000000000000812426215431782	TRUE
Sig_kmer0007	0.858534912291611	0.00000000000000000000106860696244983	TRUE
Sig_kmer0008	0.577886605369377	0.000000131388221427516	TRUE
Sig_kmer0010	0.859185510557705	0.000000000000000000000921889442526884	TRUE
Sig_kmer0011	0.601674489973117	0.0000000286688414981724	TRUE
Sig_kmer0012	0.863530555666653	0.000000000000000000000337235958818363	TRUE
Sig_kmer0013	0.758802840070904	0.0000000000000177111546726823	TRUE
Sig_kmer0016	0.875220946261346	0.0000000000000000000000188006355321507	TRUE
Sig_kmer0018	0.736777045528276	0.000000000000240400245410549	TRUE
Sig_kmer0019	0.812939805204903	0.00000000000000000733469946353259	TRUE
Sig_kmer0022	0.85767249239795	0.00000000000000000000129822238479017	TRUE
Sig_kmer0023	0.776898776542257	0.00000000000000167234684138434	TRUE
Sig_kmer0024	0.813427517011477	0.00000000000000000676156110771273	TRUE
Sig_kmer0029	0.834398227672694	0.000000000000000000160402114997619	TRUE
Sig_kmer0030	0.819470126298007	0.00000000000000000241829090962227	TRUE
Sig_kmer0031	0.725963466376502	0.000000000000788276540343347	TRUE
Sig_kmer0034	0.770726705545049	0.00000000000000383157310946394	TRUE
Sig_kmer0035	0.784812945890194	0.000000000000000555321895445584	TRUE
Sig_kmer0036	0.793973403254685	0.000000000000000146091245563483	TRUE
Sig_kmer0037	0.841340027968676	0.0000000000000000000413740159381537	TRUE
Sig_kmer0040	0.674535960319082	0.000000000112357288745615	TRUE
Sig_kmer0042	0.782079630697797	0.00000000000000081686103708112	TRUE
Sig_kmer0045	0.741643309850175	0.00000000000013821286218021	TRUE
Sig_kmer0046	0.794610135778646	0.000000000000000132809861056457	TRUE
Sig_kmer0047	0.863060003404078	0.000000000000000000000376661928320609	TRUE
Sig_kmer0048	0.737279706480956	0.000000000000227169119647994	TRUE
Sig_kmer0049	0.817168306786314	0.00000000000000000359373506705853	TRUE
Sig_kmer0050	0.891244740365811	0.000000000000000000000000216125486500171	TRUE
Sig_kmer0055	0.742890248249474	0.000000000000119698187285267	TRUE
Sig_kmer0056	0.762973263845103	0.0000000000000104744230853985	TRUE
Sig_kmer0058	0.777676760722265	0.00000000000000150359249396398	TRUE
Sig_kmer0060	0.685506396159189	0.0000000000424702247934042	TRUE
Sig_kmer0065	0.744078499585268	0.000000000000104287527576163	TRUE
Sig_kmer0068	0.821073250910477	0.00000000000000000182912589462296	TRUE
Sig_kmer0077	0.866818625646356	0.000000000000000000000153934482881274	TRUE
Sig_kmer0082	0.719638124262978	0.0000000000015388154792341	TRUE
Sig_kmer0091	0.875678773445973	0.0000000000000000000000166930372528554	TRUE
Sig_kmer0093	0.759075161757238	0.0000000000000171195305798351	TRUE
Sig_kmer0094	0.826620856648399	0.000000000000000000680935119251201	TRUE
Sig_kmer0095	0.891758617795284	0.000000000000000000000000185169952156396	TRUE
Sig_kmer0097	0.398134947733539	0.000584884110803364	TRUE
Sig_kmer0099	0.698985649097019	0.0000000000121084469218929	TRUE
Sig_kmer0103	0.893963340869426	0.0000000000000000000000000945475966202604	TRUE
Sig_kmer0107	0.788580464459139	0.000000000000000323221118154624	TRUE
Sig_kmer0111	0.799734338290825	0.0000000000000000609153674889556	TRUE
Sig_kmer0112	0.813245278617652	0.00000000000000000697047615397599	TRUE
Sig_kmer0117	0.786587939394533	0.000000000000000430920582144269	TRUE
Sig_kmer0123	0.565789787099346	0.000000272320870170856	TRUE
Sig_kmer0126	0.732214712883248	0.000000000000399539871330354	TRUE
Sig_kmer0128	0.742004385950211	0.000000000000132586218560414	TRUE
Sig_kmer0129	0.767461406779363	0.00000000000000587984753036759	TRUE
Sig_kmer0131	0.669498902426691	0.000000000173237590269211	TRUE
Sig_kmer0132	0.742743117276011	0.000000000000121752022941754	TRUE
Sig_kmer0133	0.856823980235627	0.00000000000000000000157028072579399	TRUE
Sig_kmer0135	0.791507792150016	0.000000000000000210647121238333	TRUE
Sig_kmer0136	0.825658531222011	0.000000000000000000810267470820924	TRUE
Sig_kmer0137	0.707966930227002	0.00000000000504640809478464	TRUE
Sig_kmer0138	0.835109136050419	0.000000000000000000140023491056059	TRUE
Sig_kmer0139	0.888851371640683	0.000000000000000000000000439559067073033	TRUE
Sig_kmer0141	0.924793830362659	0.00000000000000000000000000000113728139300858	TRUE
Sig_kmer0142	0.797060858277416	0.000000000000000091736521175896	TRUE
Sig_kmer0143	0.711206871928619	0.00000000000365039919484758	TRUE
Sig_kmer0144	0.817201951143527	0.00000000000000000357313056288204	TRUE
Sig_kmer0146	0.59258422841837	0.000000052043392320382	TRUE
Sig_kmer0148	0.776109540211371	0.00000000000000186209569497816	TRUE
Sig_kmer0151	0.790843894219647	0.000000000000000232265920564201	TRUE
Sig_kmer0154	0.78487928574862	0.000000000000000550106453954533	TRUE
Sig_kmer0158	0.879152112113536	0.00000000000000000000000666857412014576	TRUE
Sig_kmer0162	0.699545238489718	0.0000000000114766189965855	TRUE
Sig_kmer0163	0.812914944603473	0.00000000000000000736513561416223	TRUE
Sig_kmer0166	0.844829313098475	0.0000000000000000000204256100739122	TRUE
Sig_kmer0169	0.791450360240791	0.00000000000000021243794061951	TRUE
Sig_kmer0171	0.820377042765764	0.00000000000000000206563945826194	TRUE
Sig_kmer0173	0.783371729349403	0.000000000000000681113645023841	TRUE
Sig_kmer0174	0.621568026673205	0.0000000072704078498329	TRUE
Sig_kmer0175	0.889332834816132	0.000000000000000000000000381562212276855	TRUE
Sig_kmer0183	0.802683328075734	0.0000000000000000384993510931071	TRUE
Sig_kmer0184	0.787392754672374	0.000000000000000383804039855454	TRUE
Sig_kmer0188	0.842637398294723	0.0000000000000000000318871562232802	TRUE
Sig_kmer0191	0.891635546838335	0.000000000000000000000000192167451689431	TRUE
Sig_kmer0192	0.764396522146517	0.00000000000000873392772921373	TRUE
Sig_kmer0195	0.814349475989686	0.0000000000000000057938485276025	TRUE
Sig_kmer0200	0.660844869480215	0.000000000357577890975009	TRUE
Sig_kmer0201	0.612359203259131	0.0000000138839576228138	TRUE
Sig_kmer0204	0.807531120514424	0.0000000000000000178022216542851	TRUE
Sig_kmer0207	0.849658124703031	0.00000000000000000000746940573039895	TRUE
Sig_kmer0208	0.711778405179535	0.00000000000344612896405708	TRUE
Sig_kmer0210	0.796850647454607	0.0000000000000000947133447822772	TRUE
Sig_kmer0215	0.910016067265347	0.000000000000000000000000000431619460458223	TRUE
Sig_kmer0218	0.837384930949382	0.0000000000000000000902401267019548	TRUE
Sig_kmer0220	0.831080550847443	0.000000000000000000299885498091305	TRUE
Sig_kmer0221	0.720547868016067	0.00000000000139924141291249	TRUE
Sig_kmer0222	0.65650637005664	0.00000000050970609221416	TRUE
Sig_kmer0225	0.642784053473828	0.0000000015073538116318	TRUE
Sig_kmer0227	0.829611578165968	0.000000000000000000393915407590321	TRUE
Sig_kmer0228	0.694015406304258	0.0000000000193865080497208	TRUE
Sig_kmer0230	0.901037947157813	0.0000000000000000000000000098547286778032	TRUE
Sig_kmer0235	0.755127544636653	0.0000000000000278934075582988	TRUE
Sig_kmer0239	0.838356380119618	0.000000000000000000074655000512021	TRUE
Sig_kmer0240	0.726859436392359	0.000000000000715941845037567	TRUE
Sig_kmer0245	0.708475885547565	0.00000000000479750490579839	TRUE
Sig_kmer0250	0.787604570196759	0.000000000000000372253250745274	TRUE
Sig_kmer0251	0.891070227408792	0.00000000000000000000000022773445436492	TRUE
Sig_kmer0257	0.854509448642305	0.00000000000000000000262237733601981	TRUE
Sig_kmer0259	0.833244834573245	0.000000000000000000199690457974572	TRUE
Sig_kmer0262	0.764237199051112	0.00000000000000891397948761037	TRUE
Sig_kmer0265	0.750875251631714	0.0000000000000467140471331183	TRUE
Sig_kmer0266	0.810462135179847	0.0000000000000000110488249796937	TRUE
Sig_kmer0268	0.778189876880435	0.00000000000000140139300237581	TRUE
Sig_kmer0269	0.694363719787264	0.0000000000187632648853932	TRUE
Sig_kmer0271	0.863864248023731	0.000000000000000000000311726415326031	TRUE
Sig_kmer0273	0.753055842798375	0.0000000000000359063753980853	TRUE
Sig_kmer0274	0.516306576389667	0.00000404927044455007	TRUE
Sig_kmer0284	0.736708080715452	0.000000000000242272258519501	TRUE
Sig_kmer0289	0.892103683550777	0.000000000000000000000000166839761053788	TRUE
Sig_kmer0304	0.777268173543994	0.00000000000000159006508344594	TRUE
Sig_kmer0308	0.731933527712532	0.000000000000412107894404834	TRUE
Sig_kmer0311	0.710041768460139	0.00000000000410332932160404	TRUE
Sig_kmer0315	0.741200204726533	0.000000000000145431471025652	TRUE
Sig_kmer0316	0.766818043366707	0.00000000000000639227280134558	TRUE
Sig_kmer0323	0.795512489795391	0.000000000000000115962824867345	TRUE
Sig_kmer0324	0.816744578120273	0.00000000000000000386324761653363	TRUE
Sig_kmer0326	0.804684030851961	0.000000000000000028076278883418	TRUE
Sig_kmer0327	0.740834203504998	0.000000000000151665661564578	TRUE
Sig_kmer0328	0.759092204131238	0.0000000000000170831443325725	TRUE
Sig_kmer0330	0.770705366691031	0.00000000000000384239914645174	TRUE
Sig_kmer0331	0.825782432085101	0.000000000000000000792374809247712	TRUE
Sig_kmer0334	0.73750672227145	0.000000000000221425391968435	TRUE
Sig_kmer0335	0.63415040830751	0.00000000290128766523252	TRUE
Sig_kmer0336	0.827650764493401	0.00000000000000000056462970110442	TRUE
Sig_kmer0339	0.435977625675747	0.000144458515221782	TRUE
Sig_kmer0340	0.798217060419632	0.0000000000000000769075541638368	TRUE
Sig_kmer0341	0.636407688211204	0.00000000244960519568025	TRUE
Sig_kmer0346	0.862851754416652	0.000000000000000000000395499402874618	TRUE
Sig_kmer0347	0.686763796584731	0.0000000000378861977269984	TRUE
Sig_kmer0354	0.793769262989775	0.000000000000000150613752346504	TRUE
Sig_kmer0359	0.78841159734185	0.000000000000000331235383666625	TRUE
Sig_kmer0360	0.869281105860435	0.0000000000000000000000843865104696092	TRUE
Sig_kmer0365	0.590402616635252	0.0000000598867286412734	TRUE
Sig_kmer0367	0.670719612730046	0.000000000156100895742775	TRUE
Sig_kmer0370	0.545225110611188	0.000000881283490639133	TRUE
Sig_kmer0376	0.89366273166814	0.000000000000000000000000103712159070522	TRUE
Sig_kmer0380	0.836709790610094	0.000000000000000000102874474866308	TRUE
Sig_kmer0381	0.860751951378698	0.000000000000000000000644060978033093	TRUE
Sig_kmer0382	0.849777592709616	0.00000000000000000000728255958497529	TRUE
Sig_kmer0386	0.815449398364167	0.00000000000000000481338856083452	TRUE
Sig_kmer0388	0.820196772329529	0.0000000000000000021315321092126	TRUE
Sig_kmer0391	0.799492593280239	0.0000000000000000632288772188278	TRUE
Sig_kmer0392	0.678203037050465	0.0000000000815417511923533	TRUE
Sig_kmer0394	0.865159583361038	0.000000000000000000000229249491984973	TRUE
Sig_kmer0396	0.845613334929666	0.0000000000000000000173883136361488	TRUE
Sig_kmer0398	0.825589605906602	0.000000000000000000820389132446796	TRUE
Sig_kmer0399	0.79282274014034	0.000000000000000173405170259202	TRUE
Sig_kmer0409	0.797002285030096	0.0000000000000000925568014736653	TRUE
Sig_kmer0413	0.683949277395651	0.0000000000488843879552294	TRUE
Sig_kmer0419	0.753526862015347	0.0000000000000339103287697107	TRUE
Sig_kmer0423	0.689034200244143	0.0000000000307811180416903	TRUE
Sig_kmer0424	0.765976910198225	0.00000000000000712730431670273	TRUE
Sig_kmer0429	0.647754081619211	0.00000000102426085963493	TRUE
Sig_kmer0430	0.724252599707592	0.000000000000946333479023494	TRUE
Sig_kmer0441	0.744796616353977	0.0000000000000959179132030643	TRUE
Sig_kmer0446	0.867883189504705	0.000000000000000000000118882381186276	TRUE
Sig_kmer0462	0.795082137565359	0.000000000000000123723336382772	TRUE
Sig_kmer0464	0.875662525977907	0.0000000000000000000000167637569486259	TRUE
Sig_kmer0467	0.79103264198863	0.000000000000000225911393424657	TRUE
Sig_kmer0472	0.785657404505339	0.000000000000000492347266788874	TRUE
Sig_kmer0482	0.885409787176661	0.00000000000000000000000118635808650105	TRUE
Sig_kmer0485	0.854971484753272	0.00000000000000000000236888406619997	TRUE
Sig_kmer0487	0.812736394706544	0.00000000000000000758733512564935	TRUE
Sig_kmer0488	0.880577005394614	0.00000000000000000000000453939993021118	TRUE
Sig_kmer0497	0.796612091234749	0.0000000000000000982043112222158	TRUE
Sig_kmer0498	0.716790246817828	0.00000000000206735531210199	TRUE
Sig_kmer0506	0.854732261687709	0.00000000000000000000249702319941313	TRUE
Sig_kmer0515	0.853233185929567	0.00000000000000000000346629991521305	TRUE
Sig_kmer0520	0.798003181345823	0.0000000000000000794641355375351	TRUE
